Well,X,Y,Z
DB-15,499256.00,99655.00,NS
DB-18,499191.00,99566.00,9400
DB-21,498826.00,99626.00,560
DB-22,498610.00,99350.00,7600
DB-23,499213.00,99031.00,NS
DB-24,498686.00,98830.00,NS
DB-25,498127.00,98508.00,190
DB-26,497934.00,98867.00,ND
DB-27,498152.00,99275.00,ND
DB-28,498472.00,99668.00,ND
DB-29,498803.00,100290.00,30
DB-33,500120.00,98384.00,NS
DB-34,497931.00,99369.00,NS
DB-35,497720.00,98054.00,ND
DB-36,497540.00,97495.00,ND
DB-37,497586.00,98191.00,ND
DB-38,497815.00,98017.00,ND
DB-39,498279.00,98192.00,ND
DB-40,498540.00,98304.00,ND
DB-41,497382.00,97282.00,ND
DB-42,496942.00,98579.00,ND
DB-43,496756.00,97206.00,ND
DB-44,498022.00,100539.00,ND
